Grafico_Configuracao_do_robo
Time (Seconds),X (Meters),Y (Meters)
92.900002,-0.345165,0.910816
92.950005,-0.349177,0.904942
93.000000,-0.353137,0.898551
93.050003,-0.356980,0.892300
93.100006,-0.360709,0.885891
93.150002,-0.364390,0.879409
93.200005,-0.367913,0.873223
93.250000,-0.371407,0.866741
93.300003,-0.374653,0.860153
93.350006,-0.377629,0.853819
93.400002,-0.380571,0.847184
93.450005,-0.383426,0.841000
93.500000,-0.386195,0.834455
93.550003,-0.388873,0.827821
93.600006,-0.391508,0.821381
93.650002,-0.393980,0.814641
93.700005,-0.396432,0.807985
93.750000,-0.398808,0.801316
93.800003,-0.401080,0.794457
93.850006,-0.403356,0.787825
93.900002,-0.405654,0.780973
93.950005,-0.407759,0.773958
94.000000,-0.409736,0.767196
94.050003,-0.411683,0.760272
94.100006,-0.413528,0.753224
94.150002,-0.415357,0.746197
94.200005,-0.416791,0.738951
94.250000,-0.418229,0.731645
94.300003,-0.419534,0.724631
94.350006,-0.420801,0.717648
94.400002,-0.421946,0.710617
94.450005,-0.423056,0.703707
94.500000,-0.424009,0.696541
94.550003,-0.424907,0.689747
94.600006,-0.425632,0.682571
94.650002,-0.426335,0.675457
94.700005,-0.426957,0.668535
94.750000,-0.427449,0.661362
94.800003,-0.427784,0.654323
94.850006,-0.428001,0.647221
94.900002,-0.428301,0.639884
94.950005,-0.428544,0.632371
95.000000,-0.428782,0.625240
95.050003,-0.428964,0.618192
95.100006,-0.428872,0.610681
95.150002,-0.428952,0.603661
95.200005,-0.428745,0.596216
95.250000,-0.428599,0.589085
95.300003,-0.428211,0.581609
95.350006,-0.427839,0.574443
95.400002,-0.427258,0.567021
95.450005,-0.426581,0.559780
95.500000,-0.425799,0.552505
95.550003,-0.424900,0.545244
95.600006,-0.424281,0.538419
95.650002,-0.423197,0.530949
95.700005,-0.422118,0.523809
95.750000,-0.421041,0.516721
95.800003,-0.419719,0.509503
95.850006,-0.418427,0.502364
95.900002,-0.417012,0.495354
95.950005,-0.415568,0.488287
96.000000,-0.413756,0.480950
96.050003,-0.411940,0.473734
96.100006,-0.410033,0.466581
96.150002,-0.408101,0.459579
96.200005,-0.406393,0.452858
96.250000,-0.404088,0.445580
96.300003,-0.401756,0.438411
96.350006,-0.399556,0.431654
96.400002,-0.397366,0.425030
96.450005,-0.394798,0.418080
96.500000,-0.392266,0.411267
96.550003,-0.389540,0.404483
96.600006,-0.386779,0.397699
96.650002,-0.383924,0.390980
96.700005,-0.381125,0.384383
96.750000,-0.377879,0.377596
96.800003,-0.374763,0.371021
96.850006,-0.371660,0.364561
96.900002,-0.368646,0.358306
96.950005,-0.365171,0.351712
97.000000,-0.361485,0.345198
97.050003,-0.358197,0.339111
97.100006,-0.354770,0.332935
97.150002,-0.350744,0.326452
97.200005,-0.347000,0.320439
97.250000,-0.343185,0.314366
97.300003,-0.339488,0.308424
97.350006,-0.335423,0.302456
97.400002,-0.331476,0.296645
97.450005,-0.327403,0.290765
97.500000,-0.323112,0.284968
97.550003,-0.319406,0.279513
97.600006,-0.315430,0.273948
97.650002,-0.311119,0.268228
97.700005,-0.306553,0.262463
97.750000,-0.301944,0.256748
97.800003,-0.297309,0.251083
97.850006,-0.292967,0.245704
