Grafico_Espaco_de_trabalho
Time (Seconds),X (Meters),Y (Meters),Z (Meters)
85.950005,0.535587,0.994043,0.099897
86.000000,0.530577,0.999251,0.099892
86.050003,0.525633,1.004459,0.099882
86.100006,0.520641,1.009533,0.099874
86.150002,0.515543,1.014612,0.099880
86.200005,0.509865,1.019629,0.099866
86.250000,0.504453,1.024671,0.099891
86.300003,0.499164,1.029507,0.099899
86.350006,0.493464,1.034439,0.099895
86.400002,0.488073,1.039094,0.099879
86.450005,0.482469,1.043784,0.099882
86.500000,0.476726,1.048435,0.099889
86.550003,0.470754,1.052928,0.099873
86.600006,0.465303,1.057207,0.099872
86.650002,0.459582,1.061464,0.099881
86.700005,0.453547,1.065724,0.099872
86.750000,0.447466,1.069892,0.099888
86.800003,0.441247,1.073926,0.099883
86.850006,0.435011,1.077785,0.099868
86.900002,0.428960,1.081520,0.099888
86.950005,0.422794,1.085310,0.099884
87.000000,0.416935,1.088966,0.099877
87.050003,0.410929,1.092594,0.099882
87.100006,0.404455,1.096289,0.099888
87.150002,0.397788,1.099869,0.099877
87.200005,0.391421,1.103332,0.099879
87.250000,0.385282,1.106676,0.099884
87.300003,0.378788,1.110008,0.099877
87.350006,0.371918,1.113218,0.099876
87.400002,0.365116,1.116312,0.099868
87.450005,0.358821,1.119291,0.099867
87.500000,0.352110,1.122304,0.099878
87.550003,0.345102,1.125157,0.099887
87.600006,0.338188,1.127928,0.099883
87.650002,0.331321,1.130520,0.099877
87.700005,0.324263,1.133077,0.099883
87.750000,0.317326,1.135569,0.099882
87.800003,0.310590,1.137907,0.099872
87.850006,0.303493,1.140183,0.099890
87.900002,0.296447,1.142402,0.099875
87.950005,0.289325,1.144462,0.099869
88.000000,0.282340,1.146331,0.099867
88.050003,0.275285,1.147915,0.099877
88.100006,0.268448,1.149470,0.099875
88.150002,0.261668,1.151092,0.099879
88.200005,0.254308,1.152542,0.099889
88.250000,0.247403,1.153912,0.099875
88.300003,0.240394,1.155215,0.099875
88.350006,0.233459,1.156465,0.099882
88.400002,0.226149,1.157625,0.099885
88.450005,0.219282,1.158809,0.099880
88.500000,0.212135,1.159792,0.099867
88.550003,0.205186,1.160759,0.099879
88.600006,0.197865,1.161543,0.099890
88.650002,0.190224,1.162242,0.099885
88.700005,0.183361,1.162979,0.099877
88.750000,0.176381,1.163754,0.099879
88.800003,0.168980,1.164250,0.099872
88.850006,0.162015,1.164779,0.099873
88.900002,0.154273,1.165003,0.099874
88.950005,0.147281,1.165372,0.099873
89.000000,0.139860,1.165603,0.099881
89.050003,0.132558,1.165756,0.099891
89.100006,0.125101,1.165754,0.099879
89.150002,0.117536,1.165541,0.099874
89.200005,0.110329,1.165481,0.099894
89.250000,0.102681,1.165077,0.099884
89.300003,0.095237,1.164680,0.099880
89.350006,0.087831,1.164235,0.099877
89.400002,0.080132,1.163592,0.099887
89.450005,0.072846,1.162907,0.099871
89.500000,0.065829,1.162275,0.099878
89.550003,0.058480,1.161427,0.099891
89.600006,0.051480,1.160579,0.099878
89.650002,0.044130,1.159544,0.099877
89.700005,0.036594,1.158260,0.099885
89.750000,0.029233,1.157043,0.099888
89.800003,0.022089,1.155746,0.099879
89.850006,0.014802,1.154351,0.099876
89.900002,0.007608,1.152868,0.099879
89.950005,0.000555,1.151422,0.099880
90.000000,-0.006737,1.149692,0.099879
90.050003,-0.013522,1.148172,0.099885
90.100006,-0.020879,1.146127,0.099896
90.150002,-0.028175,1.143995,0.099874
90.200005,-0.035318,1.141938,0.099878
90.250000,-0.042313,1.139848,0.099879
90.300003,-0.049264,1.137717,0.099882
90.350006,-0.056222,1.135416,0.099882
90.400002,-0.062944,1.133254,0.099886
90.450005,-0.070116,1.130622,0.099900
90.500000,-0.077206,1.127897,0.099891
90.550003,-0.084008,1.125243,0.099880
90.600006,-0.090841,1.122492,0.099887
90.650002,-0.097601,1.119667,0.099892
90.700005,-0.104483,1.116484,0.099884
90.750000,-0.111231,1.113481,0.099882
90.800003,-0.117831,1.110439,0.099891
90.850006,-0.124411,1.107208,0.099894
90.900002,-0.131091,1.103836,0.099884
90.950005,-0.137465,1.100599,0.099880
